id,location_lat,location_lon,city_id,city_name_ar,city_name_en,region_id,region_key,region_name_ar,region_name_en,region_order_sequence,availability,available_units_count,available_units_for_auctions_count,basement,bookable,city_order_sequence,delegated_by_broker,developer_name,driver_room,elevator,group_unit_id,maid_room,max_area,max_bathroom,max_bed_room,max_price,max_street_width,max_unit_age,min_area,min_bathroom,min_bed_room,min_price,min_street_width,min_unit_age,pool,project_name,project_type,promoted,publish,publish_date,resource_id,resource_type,subsidizable,type,under_construction_status,unit_types_0,unit_types_1,unit_types_2,use_register_interest_flag,views_count
project_997,21.571694,39.249639,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,0,0,0,0,1,0,0,شركة أفاق الذهبية المحدودة,0,0,0,0,195,0,3,790000,0,0,184.8,0,3,590000,0,0,0,جواهر الواحة - جدة,offplan_private_land,0,1,2021-12-16,997,projects,1,marketplaces,under_construction,apartment,,,0,10628
project_991,21.701096,39.209686,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,1,1,0,0,1,0,0,شركة عراب التمليك للتطوير العقاري,0,0,0,0,215,0,2,650000,0,0,107.5,0,2,400000,0,0,0,عراب التمليك 101 - 102  - جدة,offplan_private_land,0,1,2021-12-06,991,projects,1,marketplaces,under_construction,apartment,,,0,12730
project_995,24.92675,46.878028,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,شركة ساطعة التعمير للتطوير والاستثمار العقاري,0,0,0,0,520,0,5,2173556,0,0,300,0,4,795000,0,0,0,أكنان الشرق - الرياض,offplan_private_land,0,1,2021-12-05,995,projects,1,marketplaces,under_construction,villa,,,0,25824
project_390,23.363929,45.387554,832,الرين,AR RAYN,1,riyadh,الرياض,Riyadh,0,1,40,0,0,1,0,0,,0,0,0,0,826.79,0,1,0,0,0,431.33,0,1,0,0,0,0,مخطط مركز شلاح - الرين,lands_moh_land,0,1,2021-11-17,390,projects,1,marketplaces,,land,,,0,20037
project_376,26.346025,49.9764004,32,الدمام,AD DAMMAM,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,63,0,0,1,0,0,شركة تمكين للاستثمار و التطوير العقارى,0,0,0,0,190.76,0,4,546553,0,0,129.67,0,2,309911,0,0,0,نعمى - الدمام,offplan_moh_land,1,1,2021-11-16,376,projects,1,marketplaces,under_construction,apartment,,,0,20188
project_580,24.1630454,47.259627,11,الخرج,AL KHARJ,1,riyadh,الرياض,Riyadh,0,1,10,0,0,1,0,0,فرع شركة خطى الخير للتشغيل والصيانة,0,0,0,0,526.006,0,4,1018813,0,0,274.59,0,3,767166,0,0,0,الدانة الغربي - الخرج,offplan_private_land,0,1,2021-11-16,580,projects,1,marketplaces,under_construction,villa,,,0,10157
project_587,21.500848,39.203381,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,1,11,0,0,1,0,0,شركة الحناكي للتطوير العقاري,0,0,0,0,216,0,3,832464,0,0,196,0,3,665028,0,0,0,جدة قاردنز - جدة -  شركة الحناكي,offplan_private_land,0,1,2021-11-16,587,projects,1,marketplaces,under_construction,apartment,,,0,14432
project_690,26.3659423,50.226498817,31,الخبر,AL KHUBAR,4,eastern_province,المنطقة الشرقية,Eastern Province,0,0,0,0,0,1,0,0,رتال,0,0,0,0,1061,0,5,4422149,0,0,525,0,4,2612662,0,0,0,أيالا النخيل - الخبر,offplan_private_land,0,1,2021-11-16,690,projects,1,marketplaces,under_construction,villa,,,0,5407
project_702,24.7949459,46.802454717,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,شركة فيصل عبدالله بن سعيدان للاستثمار والتطويرالعقاري,0,0,0,0,162.9,0,3,733050,0,0,127.5,0,3,599250,0,0,0,اشبيليا - الرياض,offplan_private_land,0,1,2021-11-16,702,projects,1,marketplaces,under_construction,apartment,,,0,6493
project_980,26.866979,47.119182,3167,قرية (قرية العليا),"QARYAT AL 'ULYA",4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,173,0,0,1,0,0,,0,0,0,0,750,0,1,0,0,0,600,0,1,0,0,0,0,مخطط البويبيات - 47/18,lands_moh_land,0,1,2022-06-30,980,projects,1,marketplaces,,land,,,0,2306
project_709,25.449809,49.651795,1666,المبرز,AL MUBARRAZ,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,1,0,0,1,0,0,شركة مساكن أفياء للتطوير والاستثمار العقاري,0,0,0,0,401.86,0,5,1440000,0,0,226.35,0,5,1170000,0,0,0,أفياء السكني - الشرقية,offplan_private_land,0,1,2021-11-16,709,projects,1,marketplaces,under_construction,villa,,,0,7063
project_706,24.9225062,46.6441167858,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,0,0,0,شركة محمد عبدالعزيز الحبيب وشركاؤه للاستثمار العقاري,0,0,0,0,438,0,4,1789477,0,0,249.5,0,4,985554,0,0,0,أصالة الجوان - الرياض,offplan_moh_land,0,1,2021-11-16,706,projects,1,marketplaces,under_construction,townhouse,villa,,0,22374
project_708,21.744222,39.202333,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,1,1,0,0,1,0,0,شركة دور العقارية للعقارات المحدودة,0,0,0,0,220.5,0,3,750000,0,0,206,0,3,699000,0,0,0,الاندلسية - جدة,offplan_private_land,0,1,2021-11-16,708,projects,1,marketplaces,under_construction,apartment,,,0,26124
project_722,21.798018,39.097141,57,جدة,JEDDAH,2,makkah,مكة المكرمة,Makkah,0,0,0,0,0,1,0,0,مؤسسة لؤلؤة فرسان,0,0,0,0,333.5,0,7,2100000,0,0,287.5,0,5,1800000,0,0,0,لؤلؤة الفرسان - جدة,offplan_private_land,0,1,2021-11-16,722,projects,1,marketplaces,under_construction,villa,,,0,8337
project_725,24.518015,39.688552,26,المدينة المنورة,AL MADINAH AL MUNAWWARAH,3,madinah,المدينة المنورة,Madinah,0,1,5,0,0,0,0,0,شركة دور العقارية للعقارات المحدودة,0,0,0,0,324,0,5,1025000,0,0,125.5,0,3,425000,0,0,0,زاهية - المدينة المنورة,offplan_private_land,0,1,2021-11-16,725,projects,1,marketplaces,under_construction,apartment,villa,,0,28797
project_968,21.347889,39.903389,58,مكة المكرمة,MAKKAH AL MUKARRAMAH,2,makkah,مكة المكرمة,Makkah,0,1,26,0,0,1,0,0,شركة ساطعة التعمير للتطوير والاستثمار العقاري,0,0,0,0,219,0,4,1930470,0,0,104,0,2,674800,0,0,0,أكنان العوالي - مكة المكرمة,offplan_private_land,0,1,2021-11-16,968,projects,1,marketplaces,under_construction,apartment,,,0,17171
project_47,26.219611,50.204833,31,الخبر,AL KHUBAR,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,28,0,0,1,0,0,الرائم للمقاولات,0,0,0,0,181,0,3,900000,0,0,145,0,3,530000,0,0,0,الشروق - الخبر,offplan_private_land,0,1,2021-11-15,47,projects,1,marketplaces,under_construction,apartment,,,0,10937
project_975,24.531389,46.635111,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,1,96,0,0,1,0,0,شركة فيصل عبدالله بن سعيدان للاستثمار والتطويرالعقاري,0,0,0,0,289.86,0,4,716800,0,0,109.74,0,1,417012,0,0,0,نزل الحزم - الرياض,offplan_private_land,0,1,2021-11-15,975,projects,1,marketplaces,under_construction,apartment,,,0,29003
project_970,24.806442,46.626184,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,شركة جود العمارة للتطوير والاستثمار العقاري,0,0,0,0,216.66,0,4,1650000,0,0,204.94,0,4,950000,0,0,0,نزل فاتن - الرياض,offplan_private_land,0,1,2021-11-11,970,projects,1,marketplaces,under_construction,apartment,,,0,11723
project_712,26.359721,50.098023,32,الدمام,AD DAMMAM,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,41,0,0,1,0,0,شركة روض الخزامى للتطوير العقاري,0,0,0,0,339,0,5,1440000,0,0,204,0,4,880000,0,0,0,برج روض الخزامى السكني - الدمام,readymade_private_land,0,1,2021-11-02,712,projects,1,marketplaces,construction_completed,apartment,,,0,4681
project_983,24.606367,43.601602,716,الدوادمي,AD DUWADIMI,1,riyadh,الرياض,Riyadh,0,1,54,0,0,1,0,0,,0,0,0,0,674.273507364059,0,1,0,0,0,586.538541633058,0,1,0,0,0,0,مخطط الصالحية - 130,lands_moh_land,0,1,2022-06-30,983,projects,1,marketplaces,,land,,,0,2579
project_969,24.48824,39.619506,26,المدينة المنورة,AL MADINAH AL MUNAWWARAH,3,madinah,المدينة المنورة,Madinah,0,1,10,0,0,1,0,0,شركة راج العقارية,0,0,0,0,217,0,4,729000,0,0,119.5,0,2,355000,0,0,0,مساكن الروضة - المدينة المنورة,offplan_private_land,0,1,2021-11-01,969,projects,1,marketplaces,under_construction,apartment,,,0,18646
project_101,0,0,49,حائل,HAIL,6,hail,حائل,"Ha'il",0,0,0,0,0,0,0,0,وزارة الإسكان,0,0,0,0,886.55,0,3,371500,0,0,420,0,3,371500,0,0,0,إسكان حائل - حائل,readymade_moh_land,1,1,2021-10-28,101,projects,1,marketplaces,construction_completed,villa,,,0,8706
project_694,22.4104852,39.08236421802,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,34,0,0,1,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,283.6,0,3,2960209,0,0,60.17,0,1,456683,0,0,0,مدينة الملك عبدالله الاقتصادية - البيلسان,readymade_private_land,0,1,2021-10-28,694,projects,1,marketplaces,construction_completed,apartment,,,0,2403
project_697,22.4420678,39.1131563901,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,4,4,0,0,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,966.87,0,5,2611072,0,0,407.69,0,3,1422176.25,0,0,0,مدينة الملك عبدالله الاقتصادية - التالة جاردنز 1.3,readymade_private_land,0,1,2021-10-28,697,projects,1,marketplaces,construction_completed,villa,,,0,8886
project_695,22.4499049,39.0975643901,3768,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,2,makkah,مكة المكرمة,Makkah,0,1,343,0,0,1,0,0,شركة اعمار المدينة الاقتصادية,0,0,0,0,1267.31,0,1,1599680,0,0,427.4,0,1,494908,0,0,0,مدينة الملك عبدالله الاقتصادية - المروج,lands_private_land,0,1,2021-10-28,695,projects,0,marketplaces,,land,,,0,35880
