id,city_name_ar,city_name_en,region_name_ar,region_name_en,availability,available_units,available_auctions_units,bookable,developer_name,max_area,max_bed_room,max_price,min_area,min_bed_room,min_price,project_name,project_type,publish_date,construction_status,unit_type,views_count,location
project_139,بقيق,BUQAYQ,المنطقة الشرقية,Eastern Province,0,0,0,1,لا يوجد مدخل,600.14,1,0.0,445.0,1,0.0,مخطط تلال قرطبة - بقيق,lands_moh_land,2022-01-20,no entry,land,413807,"25.923111,49.607167"
project_141,بارق,BARIQ,عسير,'Asir,0,0,0,0,لا يوجد مدخل,590.210557,1,0.0,400.0,1,0.0,مخطط  ربيع بارق - بارق,lands_moh_land,2022-01-20,no entry,land,178329,"18.825742,41.966253"
project_155,الوجه,AL WAJH,تبوك,Tabuk,1,1,1,0,لا يوجد مدخل,533.33,1,0.0,400.0,1,0.0,مخطط نورس الإسكان -  الوجه,lands_moh_land,2022-01-20,no entry,land,26717,"26.271694,36.451608"
project_149,ظهران الجنوب,DHAHRAN AL JANUB,عسير,'Asir,0,0,0,1,لا يوجد مدخل,530.278,1,0.0,484.843,1,0.0,مخطط  ياسمين - ظهران الجنوب,lands_moh_land,2022-01-20,no entry,land,22149,"17.779707,43.493431"
project_153,طبرجل,TUBARJAL,الجوف,Jawf,0,0,0,0,لا يوجد مدخل,520.0,1,0.0,480.0,1,0.0,مخطط صفا طبرجل - طبرجل,lands_moh_land,2022-01-20,no entry,land,10360,"30.502632,38.170283"
project_152,ضمد,DAMAD,جازان,Jizan,0,0,0,1,لا يوجد مدخل,525.0,1,0.0,400.0,1,0.0,مخطط الريحان - ضمد,lands_moh_land,2022-01-20,no entry,land,35189,"17.109361,42.755194"
project_150,الأسياح,AL ASYAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,551.605,1,0.0,477.0,1,0.0,مخطط واحة الأسياح - الأسياح,lands_moh_land,2022-01-20,no entry,land,5396,"26.799611,44.207417"
project_26,الرياض,AR RIYADH,الرياض,Riyadh,0,0,0,1,بنائات العقارية,279.7,5,672000.0,125.0,2,300000.0,إسكان الرياض (مشروع السلطان) - الرياض,readymade_private_land,2022-07-28,construction_completed,apartment,15460,"24.648991,46.555"
project_148,وادي الدواسر,WADI AD DAWASIR,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,555.919,1,0.0,482.502,1,0.0,مخطط وادي العقيق - وادي الدواسر,lands_moh_land,2022-01-20,no entry,land,45818,"20.467323,44.778423"
project_159,حقل,HAQL,تبوك,Tabuk,0,0,0,1,لا يوجد مدخل,777.2,1,0.0,387.9,1,0.0,مخطط أصداف السلطانية - حقل,lands_moh_land,2022-01-20,no entry,land,18959,"29.21324,34.932062"
project_163,الدرب,AD DARB,جازان,Jizan,0,0,0,1,لا يوجد مدخل,525.0,1,0.0,480.0,1,0.0,مخطط المملكة - الدرب,lands_moh_land,2022-01-20,no entry,land,233174,"17.700056,42.308806"
project_160,الجموم,AL JUMUM,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,500.000000027,1,0.0,499.0,1,0.0,مخطط الجموم - الجموم,lands_moh_land,2022-01-20,no entry,land,656017,"21.658643,39.617772"
project_171,جدة,JEDDAH,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,500.0,1,0.0,500.0,1,0.0,مخطط منارات الصفوة - عسفان,lands_moh_land,2022-01-20,no entry,land,3494018,"21.898806,39.234417"
project_168,العيدابي,AL 'AYDABI,جازان,Jizan,0,0,0,1,لا يوجد مدخل,543.71,1,0.0,499.6,1,0.0,مخطط منازل الشهد - جازان,lands_moh_land,2022-01-20,no entry,land,53354,"17.248753,42.897231"
project_169,البكيرية,AL BUKAYRIYAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,594.6863,1,0.0,434.2214,1,0.0,مخطط بساتين البكيرية - البكيرية,lands_moh_land,2022-01-20,no entry,land,216398,"26.182657,43.603449"
project_167,الحجرة,AL HAJRAH,الباحة,Bahah,0,0,0,1,لا يوجد مدخل,625.499086883623,1,0.0,454.588749905647,1,0.0,مخطط  أنوار الحجرة - الباحة,lands_moh_land,2022-01-20,no entry,land,217100,"20.185481,41.088044"
project_180,المذنب,AL MIDHNAB,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,576.88,1,0.0,491.0,1,0.0,مخطط معين المذنب - المذنب,lands_moh_land,2022-01-20,no entry,land,31629,"25.826161,44.174328"
project_181,محايل,MUHAYIL,عسير,'Asir,0,0,0,1,لا يوجد مدخل,592.39274,1,0.0,388.194307,1,0.0,مخطط ربيع محايل - محايل,lands_moh_land,2022-01-20,no entry,land,59228,"18.788767,41.906663"
project_1028,الرياض,AR RIYADH,الرياض,Riyadh,1,4,0,1,شركه رسو العقارية,199.55,4,1050000.0,151.35,3,815000.0,رسو 1 - الرياض,offplan_private_land,2022-07-26,under_construction,apartment,10859,"24.810025,46.771981"
project_178,القري,AL QARI,الباحة,Bahah,0,0,0,1,لا يوجد مدخل,548.951,1,0.0,477.587,1,0.0,مخطط روابي الباحة - الباحة,lands_moh_land,2022-01-20,no entry,land,225198,"20.160932,41.38947"
project_183,خميس مشيط,KHAMIS MUSHAYT,عسير,'Asir,0,0,0,1,لا يوجد مدخل,518.354397467399,1,0.0,475.804162831622,1,0.0,مخطط وادي الرفاه - خميس مشيط,lands_moh_land,2022-01-20,no entry,land,164914,"18.696028,42.871111"
project_182,المخواة,AL MUKHWAH,الباحة,Bahah,0,0,0,1,لا يوجد مدخل,598.538475,1,0.0,400.0,1,0.0,مخطط منازل السمير - الباحة,lands_moh_land,2022-01-20,no entry,land,7501,"19.847737,41.449261"
project_184,سراة عبيدة,SARAT ABIDAH,عسير,'Asir,0,0,0,0,لا يوجد مدخل,689.860540758779,1,0.0,427.499685626398,1,0.0,مخطط جوهرة القصر  - سراة عبيدة,lands_moh_land,2022-01-20,no entry,land,300695,"18.06923,43.124416"
project_177,النماص (النماص),AN NAMAS (TANUMAH),عسير,'Asir,0,0,0,1,لا يوجد مدخل,616.79298700328,1,0.0,499.813256967126,1,0.0,مخطط  تلال السرح - النماص,lands_moh_land,2022-01-20,no entry,land,66713,"19.316833,42.145361"
project_176,سكاكا,SAKAKA,الجوف,Jawf,0,0,0,1,لا يوجد مدخل,541.1486,1,0.0,400.0,1,0.0,مخطط ورود سكاكا - سكاكا,lands_moh_land,2022-01-20,no entry,land,32572,"29.979442,40.249676"
project_190,بلجرشي,BILJURASHI,الباحة,Bahah,0,0,0,1,لا يوجد مدخل,680.562,1,0.0,475.5,1,0.0,مخطط روابي الحميد - بلجرشي,lands_moh_land,2022-01-20,no entry,land,208598,"19.83465,41.703233"
project_186,موقق,MAWQAQ,حائل,Ha'il,0,0,0,1,لا يوجد مدخل,539.73,1,0.0,352.34,1,0.0,مخطط التلال - موقق,lands_moh_land,2022-01-20,no entry,land,7976,"27.390814,41.195344"
project_192,العقيق,AL AQIQ,الباحة,Bahah,1,7,0,0,لا يوجد مدخل,545.44,1,0.0,400.0,1,0.0,مخطط جوهرة العقيق - العقيق,lands_moh_land,2022-01-20,no entry,land,90761,"20.3054,41.58563"
project_195,حبونا,HUBUNA,نجران,Najran,1,17,0,1,لا يوجد مدخل,526.483,1,0.0,480.566,1,0.0,مخطط درة العزيزية - حبونا,lands_moh_land,2022-01-20,no entry,land,38152,"17.842279,44.303663"
project_1024,جدة,JEDDAH,مكة المكرمة,Makkah,1,41,0,1,عبدالرحمن الراشد وأولاده,332.84,5,1467216.0,212.5,5,956836.0,جاردن فيو - جدة,offplan_moh_land,2022-07-03,under_construction,townhouse,68815,"21.774472,39.181277"
project_203,محايل,MUHAYIL,عسير,'Asir,1,35,0,0,لا يوجد مدخل,556.90314082345,1,0.0,466.950289352773,1,0.0,مخطط درة سحبان - محايل عسير,lands_moh_land,2022-01-20,no entry,land,333327,"18.706029,42.068267"
project_202,طريف,TURAIF,الحدود الشمالية,Northern Borders,0,0,0,1,لا يوجد مدخل,527.5,1,0.0,499.9988,1,0.0,مخطط واحة طريف ١ - طريف,lands_moh_land,2022-01-20,no entry,land,12486,"31.649161,38.686154"
project_211,الرس,AR RASS,القصيم,Qassim,1,1,1,0,لا يوجد مدخل,1111.294443,1,0.0,400.0,1,0.0,مخطط منازل الرس - الرس,lands_moh_land,2022-01-20,no entry,land,808840,"25.897574,43.542005"
project_209,قلوة,QILWAH,الباحة,Bahah,0,0,0,1,لا يوجد مدخل,569.620996240996,1,0.0,450.00045142102,1,0.0,مخطط إطلالة الوادي - قلوة,lands_moh_land,2022-01-20,no entry,land,9625,"19.905997,41.162563"
